Timestamp (ns),0x6a25 Range to 0x6f58 (mm),0x6a25 RSS to 0x6f58 (dB),0x6a25 Range to 0x6a5d (mm),0x6a25 RSS to 0x6a5d (dB),0x6a25 Range to 0x6a26 (mm),0x6a25 RSS to 0x6a26 (dB),0x6a25 Range to 0x6f61 (mm),0x6a25 RSS to 0x6f61 (dB),Timestamp (ns),0x6f58 Range to 0x6a5d (mm),0x6f58 RSS to 0x6a5d (dB),0x6f58 Range to 0x6a25 (mm),0x6f58 RSS to 0x6a25 (dB),0x6f58 Range to 0x6a26 (mm),0x6f58 RSS to 0x6a26 (dB),0x6f58 Range to 0x6f61 (mm),0x6f58 RSS to 0x6f61 (dB)
1595476447229452082, , , , ,1259,-80, , ,1595476447235743305, , , , ,1231,-82, , ,,
1595476447242363490, , , , , , ,870,-81,1595476447248333064, , , , , , ,707,-85,,
1595476447248446119, , , , , , , , ,1595476447254552990,658,-80, , , , , , ,,
1595476447261201527, , ,889,-80, , , , ,1595476447261230527, , , , , , , , ,,
1595476447267463786, , , , ,1240,-81, , ,1595476447277311860, , , , ,1231,-82, , ,,
1595476447283406768, , , , , , ,894,-81,1595476447289302860, , , , , , ,754,-86,,
1595476447289403119, , , , , , , , ,1595476447295414823,597,-80, , , , , , ,,
1595476447301502101, , ,931,-80, , , , ,1595476447301524582, , , , , , , , ,,
1595476447307514490, , , , ,1212,-81, , ,1595476447313504119, , , , ,1212,-82, , ,,
1595476447319520212, , , , , , ,876,-81,1595476447325499138, , , , , , ,736,-87,,
1595476447325598582, , , , , , , , ,1595476447331724953,658,-80, , , , , , ,,
1595476447337853323, , ,898,-80, , , , ,1595476447337875342, , , , , , , , ,,
1595476447344111916, , , , ,1254,-80, , ,1595476447350003434, , , , ,1226,-82, , ,,
1595476447356145119, , , , , , ,922,-81,1595476447362394304, , , , , , ,745,-86,,
1595476447362580230, , , , , , , , ,1595476447368837008,620,-79, , , , , , ,,
1595476447374938601, , ,927,-80, , , , ,1595476447374961045, , , , , , , , ,,
1595476447381117693, , , , ,1259,-81, , ,1595476447387098619, , , , ,1236,-82, , ,,
1595476447393264249, , , , , , ,894,-81,1595476447399202934, , , , , , ,740,-86,,
1595476447399302786, , , , , , , , ,1595476447405316749,634,-80, , , , , , ,,
1595476447411426304, , ,870,-80, , , , ,1595476447411447823, , , , , , , , ,,
1595476447417529545, , , , ,1264,-81, , ,1595476447423517545, , , , ,1259,-83, , ,,
1595476447429647990, , , , , , ,870,-82,1595476447435644508, , , , , , ,731,-85,,
1595476447435740582, , , , , , , , ,1595476447441772416,630,-80, , , , , , ,,
1595476447447938397, , ,903,-80, , , , ,1595476447447960008, , , , , , , , ,,
1595476447454243119, , , , ,1268,-81, , ,1595476447461267008, , , , ,1264,-83, , ,,
1595476447467802897, , , , , , ,875,-81,1595476447474133323, , , , , , ,721,-86,,
1595476447474239971, , , , , , , , ,1595476447480589434,639,-80, , , , , , ,,
1595476447487063416, , ,889,-80, , , , ,1595476447487089175, , , , , , , , ,,
1595476447493788712, , , , ,1297,-81, , ,1595476447499937527, , , , ,1273,-83, , ,,
1595476447506513416, , , , , , ,886,-82,1595476447512601564, , , , , , ,759,-88,,
1595476447512756453, , , , , , , , ,1595476447519441193,648,-79, , , , , , ,,
1595476447525758249, , ,927,-80, , , , ,1595476447525784175, , , , , , , , ,,
1595476447532419304, , , , ,1231,-81, , ,1595476447538549971, , , , ,1231,-82, , ,,
