,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),
1594830938910108738,-16.0,-65.0,949.0,-0.125,0.0625,0.125,-22.5625,31.375,-53.375,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830938928050556,-17.0,-65.0,952.0,-0.1875,0.0,0.0,-22.5625,31.375,-53.375,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830938943348247,-17.0,-63.0,955.0,0.0625,0.125,0.0625,-23.5625,32.0625,-54.5625,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830938959243328,-14.0,-66.0,952.0,-0.25,0.0,0.0625,-23.5625,32.0625,-54.5625,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830938974218507,-16.0,-63.0,953.0,-0.125,-0.0625,0.125,-23.5625,32.0625,-54.5625,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830938989361135,-15.0,-65.0,953.0,0.1875,0.0,0.0,-22.875,31.375,-55.375,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939004541323,-15.0,-63.0,954.0,0.0625,0.0,0.0,-22.875,31.375,-55.375,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939021488376,-18.0,-65.0,953.0,-0.125,0.3125,-0.0625,-22.875,31.375,-55.375,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939037597781,-16.0,-64.0,954.0,-0.0625,0.0625,0.0,-23.5625,32.375,-53.75,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939053277039,-16.0,-64.0,954.0,0.0,0.0,0.0,-23.5625,32.375,-53.75,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939068068284,-17.0,-65.0,953.0,-0.1875,0.125,0.0,-23.5625,32.375,-53.75,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939082430089,-15.0,-66.0,952.0,0.0,0.25,0.0,-22.5625,32.0625,-54.1875,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939097888559,-17.0,-65.0,954.0,0.0,-0.0625,0.0,-22.5625,32.0625,-54.1875,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939112568446,-16.0,-64.0,953.0,0.125,-0.1875,0.0,-22.5625,32.0625,-54.1875,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939126847308,-13.0,-66.0,957.0,-0.0625,0.125,0.125,-22.5625,32.0625,-54.1875,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939140691107,-14.0,-64.0,955.0,-0.0625,0.0,0.0,-23.25,32.0625,-54.5625,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939153618371,-16.0,-64.0,951.0,-0.0625,0.0625,0.0,-23.25,32.0625,-54.5625,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939167508152,-14.0,-64.0,956.0,0.0625,0.125,0.0,-23.25,32.0625,-54.5625,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
1594830939181471024,-14.0,-64.0,955.0,0.0625,-0.1875,0.0,-22.875,32.0625,-54.1875,0.9993701013125428,-0.03539969822653444,0.002502392460841227,0.0,101731.75,
