,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a26,0x6a26,0x6a26,0x6a26,0x6a26,0x6a26,
Timestamp (ns),Range to 0x6a26 (mm),RSS to 0x6a26 (dB),Range to 0x6a7b (mm),RSS to 0x6a7b (dB),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),Range to 0x6a7b (mm),RSS to 0x6a7b (dB),Range to 0x6a5d (mm),RSS to 0x6a5d (dB),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594783371158985069,,,,,,,1063,-84, , , , ,
1594783371165168957,,,,,,, , , , ,1325,-83,
1594783371171653050, , ,1002,-82, , ,
1594783371177928661, , , , ,1025,-90,
1594783371184065198,,,,,,,1091,-83, , , , ,
1594783371190294698,,,,,,, , , , ,1287,-83,
1594783371197651717, , ,1002,-81, , ,
1594783371203930198, , , , ,1034,-89,
1594783371210199920,,,,,,,1049,-85, , , , ,
1594783371216929735,,,,,,, , , , ,1385,-83,
1594783371223578420, , ,992,-82, , ,
1594783371230213957, , , , ,1049,-90,
1594783371237048957,,,,,,,1095,-83, , , , ,
1594783371243307865,,,,,,, , , , ,1353,-84,
1594783371249839328, , ,969,-81, , ,
1594783371255706309, , , , ,1016,-90,
1594783371262815161,,,,,,,1118,-82, , , , ,
1594783371269562494,,,,,,, , , , ,1268,-86,
1594783371276576606, , ,1030,-83, , ,
1594783371283142031, , , , ,1039,-87,
1594783371289385457,,,,,,,1114,-83, , , , ,
1594783371295785031,,,,,,, , , , ,1114,-87,
1594783371303067606, , ,1006,-83, , ,
1594783371309439865, , , , ,1039,-90,
1594783371315522661,,,,,,,1110,-83, , , , ,
1594783371322025902,,,,,,, , , , ,1034,-90,
1594783371328475531, , ,1006,-82, , ,
1594783371334941846, , , , ,1020,-91,
1594783371341274420,,,,,,,1091,-83, , , , ,
1594783371347437920,,,,,,, , , , ,1095,-90,
1594783371353580124, , ,988,-82, , ,
1594783371359612531, , , , ,1049,-88,
1594783371365648402,,,,,,,1072,-82, , , , ,
1594783371371774494,,,,,,, , , , ,1114,-88,
1594783371378409772, , ,992,-84, , ,
1594783371385732846, , , , ,1053,-87,
1594783371391870494,,,,,,,1156,-82, , , , ,
1594783371398095013,,,,,,, , , , ,1221,-87,
1594783371404399309, , ,992,-81, , ,
1594783371410636735, , , , ,1086,-88,
1594783371416704828,,,,,,,1044,-84, , , , ,
1594783371422963476,,,,,,, , , , ,1207,-85,
1594783371429249439, , ,1011,-83, , ,
1594783371435400550, , , , ,1049,-87,
1594783371441595605,,,,,,,1086,-83, , , , ,
